,provinsi,kab_kota,kecamatan,url
125,Prov. Jawa Barat,Kab. Sukabumi,Kec. Bantar Gadung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020633
126,Prov. Jawa Barat,Kab. Sukabumi,Kec. Kabandungan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020630
127,Prov. Jawa Barat,Kab. Sukabumi,Kec. Tegalbuleud,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020606
128,Prov. Jawa Barat,Kab. Sukabumi,Kec. Purabaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020640
129,Prov. Jawa Barat,Kab. Sukabumi,Kec. Caringin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020643
130,Prov. Jawa Barat,Kab. Sukabumi,Kec. Kalibunder,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020605
131,Prov. Jawa Barat,Kab. Sukabumi,Kec. Gunung Guruh,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020631
132,Prov. Jawa Barat,Kab. Sukabumi,Kec. Kadudampit,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020619
133,Prov. Jawa Barat,Kab. Sukabumi,Kec. Kalapa Nunggal,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020627
134,Prov. Jawa Barat,Kab. Sukabumi,Kec. Bojong Genteng,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020644
135,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cikakak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020632
136,Prov. Jawa Barat,Kab. Sukabumi,Kec. Pabuaran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020609
137,Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020618
138,Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020625
139,Prov. Jawa Barat,Kab. Sukabumi,Kec. Lengkong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020610
140,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cireunghas,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020641
141,Prov. Jawa Barat,Kab. Sukabumi,Kec. Ciambar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020647
142,Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukalarang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020642
143,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cibitung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020638
144,Prov. Jawa Barat,Kab. Sukabumi,Kec. Curugkembar,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020639
145,Prov. Jawa Barat,Kab. Sukabumi,Kec. Waluran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020645
146,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cidadap,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020637
147,Prov. Jawa Barat,Kab. Sukabumi,Kec. Kebon Pedes,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020636
148,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cimanggu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020646
149,Prov. Jawa Barat,Kab. Sukabumi,Kec. Cidolog,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020607
150,Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022216
151,Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022220
152,Prov. Jawa Barat,Kab. Bekasi,Kec. Babelan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022209
153,Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022218
154,Prov. Jawa Barat,Kab. Bekasi,Kec. Setu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022201
155,Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022221
156,Prov. Jawa Barat,Kab. Bekasi,Kec. Cibitung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022207
157,Prov. Jawa Barat,Kab. Bekasi,Kec. Serang Baru,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022227
158,Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022217
159,Prov. Jawa Barat,Kab. Bekasi,Kec. Cibarusah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022203
160,Prov. Jawa Barat,Kab. Bekasi,Kec. Pebayuran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022213
161,Prov. Jawa Barat,Kab. Bekasi,Kec. Taruma Jaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022210
162,Prov. Jawa Barat,Kab. Bekasi,Kec. Sukatani,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022212
163,Prov. Jawa Barat,Kab. Bekasi,Kec. Karang Bahagia,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022219
164,Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022222
165,Prov. Jawa Barat,Kab. Bekasi,Kec. Cabangbungin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022214
166,Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Pusat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022224
167,Prov. Jawa Barat,Kab. Bekasi,Kec. Kedung Waringin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022205
168,Prov. Jawa Barat,Kab. Bekasi,Kec. Sukakarya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022225
169,Prov. Jawa Barat,Kab. Bekasi,Kec. Muara Gembong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022215
170,Prov. Jawa Barat,Kab. Bekasi,Kec. Sukawangi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022226
171,Prov. Jawa Barat,Kab. Bekasi,Kec. Tambelang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022211
172,Prov. Jawa Barat,Kab. Bekasi,Kec. Bojong Mangu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022223
173,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cigalontang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021220
174,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Karangnunggal,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021202
175,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cipatujah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021201
176,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sodonghilir,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021209
177,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cikalong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021203
178,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Singaparna,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021219
179,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021223
