provinsi,kab_kota,url
Prov. Sumatera Utara,Kota Pematangsiantar,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076300
Prov. Sumatera Utara,Kota Binjai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076100
Prov. Sumatera Utara,Kab. Nias Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072800
Prov. Sumatera Utara,Kab. Padang Lawas,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072400
Prov. Sumatera Utara,Kab. Samosir,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072000
Prov. Sumatera Utara,Kab. Nias,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/071100
Prov. Sumatera Utara,Kab. Nias Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/072700
Prov. Sumatera Utara,Kota Gunungsitoli,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076700
Prov. Sumatera Utara,Kota Padang Sidimpuan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076600
Prov. Sumatera Utara,Kota Tebing Tinggi,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076200
Prov. Sumatera Utara,Kota Tanjung Balai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076400
Prov. Sumatera Utara,Kab. Pakpak Bharat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/071800
Prov. Sumatera Utara,Kota Sibolga,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/076500
Prov. Sulawesi Selatan,Kota Makassar,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/196000
Prov. Sulawesi Selatan,Kab. Bone,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190700
Prov. Sulawesi Selatan,Kab. Gowa,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190300
Prov. Sulawesi Selatan,Kab. Wajo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190800
Prov. Sulawesi Selatan,Kab. Bulukumba,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191100
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190200
Prov. Sulawesi Selatan,Kab. Luwu,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191700
Prov. Sulawesi Selatan,Kab. Pinrang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191400
Prov. Sulawesi Selatan,Kab. Jeneponto,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190500
Prov. Sulawesi Selatan,Kab. Maros,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190100
Prov. Sulawesi Selatan,Kab. Luwu Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/192400
Prov. Sulawesi Selatan,Kab. Tana Toraja,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191800
Prov. Sulawesi Selatan,Kab. Takalar,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190400
Prov. Sulawesi Selatan,Kab. Soppeng,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190900
Prov. Sulawesi Selatan,Kab. Sinjai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191200
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191500
Prov. Sulawesi Selatan,Kab. Toraja Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/192700
Prov. Sulawesi Selatan,Kab. Enrekang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191600
Prov. Sulawesi Selatan,Kab. Barru,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/190600
Prov. Sulawesi Selatan,Kab. Luwu Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/192600
Prov. Sulawesi Selatan,Kab. Kepulauan Selayar,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191300
Prov. Sulawesi Selatan,Kab. Bantaeng,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/191000
Prov. Sulawesi Selatan,Kota Parepare,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/196100
Prov. Sulawesi Selatan,Kota Palopo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/196200
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240300
Prov. Nusa Tenggara Timur,Kab. Kupang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240100
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/242000
Prov. Nusa Tenggara Timur,Kab. Sikka,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240800
Prov. Nusa Tenggara Timur,Kab. Ende,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240900
Prov. Nusa Tenggara Timur,Kab. Alor,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240600
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241900
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240400
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241600
Prov. Nusa Tenggara Timur,Kab. Flores Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240700
Prov. Nusa Tenggara Timur,Kab. Sumba Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241200
Prov. Nusa Tenggara Timur,Kab. Manggarai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241100
Prov. Nusa Tenggara Timur,Kab. Malaka,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/242200
Prov. Nusa Tenggara Timur,Kab. Ngada,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241000
Prov. Nusa Tenggara Timur,Kota Kupang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/246000
Prov. Nusa Tenggara Timur,Kab. Nagakeo,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241700
Prov. Nusa Tenggara Timur,Kab. Lembata,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241400
Prov. Nusa Tenggara Timur,Kab. Belu,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/240500
Prov. Nusa Tenggara Timur,Kab. Rote-Ndao,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241500
Prov. Nusa Tenggara Timur,Kab. Sumba Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/241300
