provinsi,kab_kota,kecamatan,url
Prov. Jawa Barat,Kab. Sukabumi,Kec. Waluran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020645
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cidadap,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020637
Prov. Jawa Barat,Kab. Sukabumi,Kec. Kebon Pedes,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020636
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cimanggu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020646
Prov. Jawa Barat,Kab. Sukabumi,Kec. Cidolog,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/020607
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022216
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022220
Prov. Jawa Barat,Kab. Bekasi,Kec. Babelan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022209
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022218
Prov. Jawa Barat,Kab. Bekasi,Kec. Setu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022201
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022221
Prov. Jawa Barat,Kab. Bekasi,Kec. Cibitung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022207
Prov. Jawa Barat,Kab. Bekasi,Kec. Serang Baru,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022227
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022217
Prov. Jawa Barat,Kab. Bekasi,Kec. Cibarusah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022203
Prov. Jawa Barat,Kab. Bekasi,Kec. Pebayuran,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022213
Prov. Jawa Barat,Kab. Bekasi,Kec. Taruma Jaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022210
Prov. Jawa Barat,Kab. Bekasi,Kec. Sukatani,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022212
Prov. Jawa Barat,Kab. Bekasi,Kec. Karang Bahagia,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022219
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022222
Prov. Jawa Barat,Kab. Bekasi,Kec. Cabangbungin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022214
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Pusat,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022224
Prov. Jawa Barat,Kab. Bekasi,Kec. Kedung Waringin,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022205
Prov. Jawa Barat,Kab. Bekasi,Kec. Sukakarya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022225
Prov. Jawa Barat,Kab. Bekasi,Kec. Muara Gembong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022215
Prov. Jawa Barat,Kab. Bekasi,Kec. Sukawangi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022226
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambelang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022211
Prov. Jawa Barat,Kab. Bekasi,Kec. Bojong Mangu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/022223
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cigalontang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021220
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Karangnunggal,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021202
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cipatujah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021201
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sodonghilir,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021209
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cikalong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021203
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Singaparna,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021219
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021223
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Manonjaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021216
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Bojonggambir,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021208
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Salawu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021211
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Jatiwaras,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021235
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pagerageung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021227
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cikatomas,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021205
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021204
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Salopa,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021214
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Ciawi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021226
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukaratu,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021230
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Rajapolah,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021224
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cibalong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021206
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Leuwisari,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021221
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Bantarkalong,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021207
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukaraja,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021213
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Taraju,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021210
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sariwangi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021229
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021212
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukarame,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021231
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Parungponteng,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021228
